code,pop,cases,location,new_cases,duration,pop_rel,dur_rel
11300,40866,26,"151.10315264986312,-33.88368552616633",16.0,1093.4,0.09473318188140387,0.3561765988017088
14500,127603,107,"151.15090618099936,-33.73460181503594",41.0,2327.6,0.29580184524085495,0.286656142203518
16260,260296,137,"151.02930457574845,-33.79934121733334",75.0,1877.8,0.603403032129445,0.30641484597281154
16550,156619,171,"151.24020901452275,-33.94323039472664",114.0,743.6,0.3630650470582781,0.39165189570537084
12850,210825,229,"150.89540649888585,-33.865636205006965",202.0,2110.8,0.48872224025221384,0.2956523719881069
14000,152419,85,"151.0893990562516,-33.58386001730368",43.0,4350.0,0.3533288515925634,0.22911653824882827
10500,181472,115,"151.16670158265117,-33.949412728797164",73.0,105.4,0.4206778246557559,0.5714225705894962
17420,183791,140,"150.9620102548158,-33.58815314163266",65.0,3898.7,0.426053595437897,0.2391950326826544
17150,232369,162,"151.05102241612386,-34.07513057244234",72.0,1764.4,0.538664286707775,0.3121463895097437
16700,133224,94,"151.1105625315235,-33.79913702935751",57.0,1913.7,0.30883212017246975,0.30467232382809495
11570,380406,316,"151.03732186098173,-33.923508740166035",180.0,960.5,0.8818350410311094,0.36810095227400597
15990,274041,292,"151.2496730789337,-33.690202997876334",155.0,2618.6,0.6352658908618851,0.2758167461235471
17200,248736,248,"151.2027413754637,-33.88936073927025",137.0,911.6,0.5766053131809541,0.3729089090328309
13310,31554,13,"149.81352611308455,-34.875830468068024",5.0,9782.3,0.07314664564884789,0.15454884228419952
12380,242674,279,"150.9876147017707,-33.84255859420105",149.0,1993.2,0.5625527377254392,0.3009271090797794
10900,79195,39,"150.41114130523147,-33.6974646158696",22.0,6378.1,0.18358523807316054,0.19390345506181184
14900,231296,187,"150.8251515954656,-33.93599677012223",137.0,2126.6,0.5361769205804627,0.2949661864258688
18500,59431,143,"151.25739625153932,-33.87167415027717",72.0,1191.8,0.13776948398164032,0.34824754341883346
18250,81196,36,"151.19637056173246,-33.80109865938093",16.0,1446.9,0.18822383977004034,0.3304007206552686
10750,382831,244,"150.8643419805705,-33.74131370024443",101.0,2755.9,0.8874565348416709,0.2711144615016814
14170,201880,104,"151.1549751286719,-33.891501324556366",56.0,801.6,0.4679864620520191,0.38474107987362094
11520,96550,51,"151.1148230522239,-33.85349892703472",38.0,1478.5,0.22381658862256015,0.32841279262944156
14700,40534,48,"151.16689398487057,-33.81999352190564",20.0,1596.0,0.0939635588112569,0.32137628953413344
16350,216282,152,"150.71807677940083,-33.76532148762778",94.0,3127.2,0.5013723399323102,0.25948449967130294
16150,42503,14,"149.12034922908254,-33.32463689714988",5.0,13789.1,0.09852797997125504,0.12296023003324685
11650,345809,140,"151.2855391866272,-33.30790056407867",38.0,6680.4,0.8016342899531735,0.189642525146126
14100,14962,31,"151.14512857899192,-33.83335217239887",16.0,1596.9,0.03468403727571978,0.3213244167996353
18050,74276,292,"151.2668480864326,-33.89004992410144",211.0,1245.7,0.1721822986693866,0.3441775202539905
13800,67749,27,"150.77341618769472,-33.334559378303254",8.0,8895.5,0.15705178728731048,0.16329281021291187
11500,174078,116,"150.8457815886208,-34.08331652185667",67.0,2551.2,0.403537484352543,0.2782160911294701
11450,107806,82,"150.72402859544212,-34.00877010128209",49.0,2746.7,0.2499095924706755,0.27142214359864314
18350,51760,34,"150.3562699109851,-34.476852406398315",13.0,5412.0,0.11998701840604571,0.20901682751686812
15950,75094,70,"151.2118731996128,-33.83295160149614",28.0,1129.4,0.17407853864342343,0.3531958729933974
11800,77648,20,"153.03996213661637,-30.18893738213105",4.0,25331.1,0.17999907274328897,0.0670017586401499
11720,61256,24,"151.22517196508952,-32.92508585821628",9.0,9718.6,0.1420000927256711,0.15514997208752845
12930,160272,105,"151.08636246449547,-33.97103877838801",75.0,913.3,0.3715332189716723,0.3727374770239208
11350,35773,21,"153.48247399625245,-28.604126965411886",2.0,33848.8,0.08292688580833604,0.04032972072540619
