name,pop,cases,density,duration
Randwick,156619,128,4310.879659575405,743.6
Inverell,17780,0,1.8897872263265516,32110.8
Warrumbungle Shire,9209,0,0.7443348371634382,23778.2
Broken Hill,17269,2,101.51350290067973,52468.1
Cumberland,242674,214,3391.6180184511486,1993.2
Wagga Wagga,65770,6,13.632532142420308,19624.6
Mosman,30785,10,3558.8361097302986,1501.7
North Sydney,75094,28,7161.562890412658,1129.4
Bega Valley,34727,1,5.530762479321356,22627.4
Sutherland Shire,232369,89,696.5637499314284,1764.4
Central Coast,345809,39,205.7077354624541,6680.4
Northern Beaches,274041,161,1078.021332187812,2618.6
Tenterfield,6470,3,0.8835426592012092,34246.5
Wingecarribee,51760,14,19.246348538952642,5412.0
Bellingen,13141,0,8.21089933309952,25121.7
Eurobodalla,38952,7,11.362331996711365,18700.6
Nambucca Valley,19861,0,13.317524765593861,23779.4
Warren,2716,0,0.25256265308995485,29088.2
Edward River,9083,0,1.0224635339725807,33628.6
Penrith,216282,100,534.4233875032863,3127.2
Uralla,5944,0,1.8422252469345808,26212.3
Balranald,2306,0,0.10631296481580728,40547.8
Narrandera,5858,0,1.4231068385190855,24183.5
Camden,107806,50,536.2732871673164,2746.7
Griffith,27155,0,16.566282700640226,26513.3
Blayney,7382,0,4.841776489902253,13795.5
Cobar,4417,0,0.096916422452239,37815.7
Yass Valley,17321,0,4.335316142060709,12010.3
Hay,2943,0,0.25984615624228874,32122.7
Kyogle,8788,0,2.451896458767349,36506.0
Ku-ring-gai,127603,41,1494.0123826829772,2327.6
Lockhart,3259,0,1.1254211221204853,24001.8
Kempsey,29921,1,8.863720030511269,21232.0
Armidale Regional,29704,0,3.8036015512250847,26927.9
Queanbeyan-Palerang Regional,62239,0,11.701518789041803,14154.5
Cowra,12730,0,4.532213284461856,16969.4
Forbes,9920,0,2.1060998766912493,21420.3
Murray River,12330,0,1.0393242972585162,34568.7
Upper Lachlan Shire,8274,0,1.1608728276444649,10772.7
Carrathool,2796,0,0.14766707256450787,31270.1
Brewarrina,1553,0,0.08103956151011779,37834.8
Singleton,23380,1,4.778531028874141,12918.0
Blue Mountains,79195,24,55.33684166836578,6378.1
Strathfield,47767,27,3411.709247262676,1195.3
Lithgow,21516,1,4.7683461597693375,12482.6
The Hills Shire,183791,67,475.9466830744243,3898.7
Willoughby,81196,17,3620.6512142264714,1446.9
Mid-Western Regional,25367,0,2.8983374463667038,14847.7
Georges River,160272,102,4179.63850111746,913.3
Lane Cove,40534,21,3867.9695402408533,1596.0
ACT,431380,29,182.92982869782188,13344.6
Inner West,201880,61,5707.452086861383,801.6
Wentworth,7090,0,0.2700310499144664,54955.7
Ballina,45217,4,93.24267448950785,32352.1
Cootamundra-Gundagai Regional,11225,0,2.8193477734675034,15551.3
Parramatta,260296,91,3105.0681503148057,1877.8
Shoalhaven,107191,9,23.472415789196504,9347.3
Campbelltown,174078,72,558.1013307958582,2551.2
Coffs Harbour,77648,4,66.15413569418945,25331.0
Bland,5937,0,0.6937649438599027,24234.0
Lismore,43667,1,33.91073556250453,34657.0
Parkes,14728,0,2.4721307044105476,20741.2
Woollahra,59431,78,4840.643453471798,1191.8
Greater Hume Shire,10841,0,1.8855491985981085,20662.4
Hilltops,18617,0,2.6070993456372493,15243.0
Gilgandra,4229,0,0.8752964940101385,24032.6
Liverpool Plains,7853,0,1.545184891613829,20373.9
Albury,55055,3,179.95011536353323,22147.6
Muswellbrook,16355,0,4.803394183179221,13220.9
Weddin,3596,0,1.0530456827967534,20270.8
Federation,12598,0,2.2159880919927404,25095.7
Canterbury-Bankstown,380406,298,3450.8077157537227,960.5
Upper Hunter Shire,14167,0,1.749857202660267,15479.6
Port Macquarie-Hastings,85952,1,23.341349227856533,21384.6
Snowy Valleys,14412,0,1.608661178228452,24384.8
Snowy Monaro Regional,20997,0,1.384702487236808,19343.3
Canada Bay,96550,39,4846.084734958566,1478.5
Coonamble,3907,0,0.3940075515525652,27888.2
Bogan,2529,0,0.1732203692688407,29500.1
Cabonne,13677,1,2.271040450025005,16206.8
Liverpool,231296,214,756.5130588252225,2126.6
Temora,6274,0,2.239102132179117,19164.3
Blacktown,382831,127,1594.8055540396595,2755.9
Orange,42503,5,149.54487032208283,13789.1
Mid-Coast,94395,7,9.388928134720112,14681.2
Hawkesbury,67749,14,24.412842649213406,8895.5
Ryde,133224,60,3291.5295443090513,1913.7
Dubbo Regional,54044,1,7.172847562748182,19317.2
Hunters Hill,14962,16,2617.1526526614075,1596.9
Moree Plains,13077,1,0.7302924859660508,33244.3
Shellharbour,74622,4,506.18262921657754,5236.6
Leeton,11343,0,9.718231266487816,26189.7
Wollondilly,54005,16,21.133396518947464,6031.6
Goulburn Mulwaree,31554,5,9.79913664246064,9782.3
Glen Innes Severn,8873,1,1.6191673797171047,30125.7
Lake Macquarie,207775,20,320.32416142210207,8355.5
Richmond Valley,23490,0,7.708274019985989,32439.0
Junee,6676,0,3.2886339863672425,18667.6
Murrumbidgee,3916,0,0.5691206803544162,28655.1
Burwood,40866,17,5733.084552685849,1093.4
Waverley,74276,236,7943.362529008524,1245.8
Narrabri,13049,0,1.0026128556635412,27681.5
Walcha,3105,0,0.4959252513350771,22592.8
Port Stephens,74506,10,86.79275570668834,10121.0
Bayside,181472,96,3637.413209755785,105.4
Tweed,98382,2,75.23537149902245,36047.5
Newcastle,167363,19,896.1639025267879,8179.7
Bourke,2625,0,0.0631017090510149,40525.3
Byron,35773,2,63.225197325782524,33848.6
Gunnedah,12690,1,2.5446009493226383,21532.2
Cessnock,61256,9,31.171016247083127,9718.6
Tamworth Regional,62545,3,6.327679230641617,22362.6
Unincorporated NSW,961,0,0.010309592536666898,55609.6
Berrigan,8784,3,4.252155328174755,29468.9
Oberon,5419,0,1.4948771698684182,12508.0
Gwydir,5299,0,0.5722675907270921,29420.1
Fairfield,210825,737,2076.950358103382,2110.8
Hornsby,152419,44,334.95920665879186,4350.0
Walgett,5828,0,0.2612470625842889,33201.0
Dungog,9664,2,4.295114356308624,12101.7
Bathurst Regional,43996,0,11.523719306336845,11637.7
Narromine,6460,1,1.227782902514893,25076.4
Sydney,248736,152,9301.01073555972,911.6
Coolamon,4291,0,1.76518716064318,22876.9
Central Darling,1829,0,0.034191905285707945,44197.7
Clarence Valley,51730,0,4.960359174113334,31123.8
Wollongong,219798,25,321.34868257537437,3569.0
Lachlan,6089,0,0.40679427816757086,26328.5
Maitland,87395,4,223.22620161442134,9039.5
Kiama,23685,1,91.92218070383245,6232.5
