"POP_COMP","Population Component","REGIONTYPE","Geography Level","LGA_2020","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",98582,,
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",97930,,
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",99046,,
"1","Births","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",97946,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",53845,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",54676,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",54315,,
"2","Deaths","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",55233,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",44737,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",43254,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",44731,,
"3","Natural Increase","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",42713,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",94468,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",96034,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",97727,,
"4","Internal Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",89873,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",109629,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",117706,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",119790,,
"5","Internal Departures","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",110760,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",-15161,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",-21672,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",-22063,,
"6","Net Internal Migration","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",-20887,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",198296,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",191451,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",194266,,
"7","Overseas Arrivals","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",172953,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",92794,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",100801,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",109723,,
"8","Overseas Departures","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",114626,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",105502,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",90650,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",84543,,
"9","Net Overseas Migration","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",58327,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2017","2017",7867936,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2018","2018",7980168,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2019","2019",8087379,,
"10","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2020","2020",8167532,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2017","2017",78295,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2018","2018",78231,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2019","2019",77767,,
"1","Births","STE","States and Territories","2","Victoria","A","Annual","2020","2020",78323,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2017","2017",39297,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2018","2018",39102,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2019","2019",40580,,
"2","Deaths","STE","States and Territories","2","Victoria","A","Annual","2020","2020",42111,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2017","2017",38998,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2018","2018",39129,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2019","2019",37187,,
"3","Natural Increase","STE","States and Territories","2","Victoria","A","Annual","2020","2020",36212,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2017","2017",86650,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2018","2018",88561,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2019","2019",90071,,
"4","Internal Arrivals","STE","States and Territories","2","Victoria","A","Annual","2020","2020",77197,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2017","2017",68457,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2018","2018",74245,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2019","2019",77873,,
"5","Internal Departures","STE","States and Territories","2","Victoria","A","Annual","2020","2020",74954,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2017","2017",18193,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2018","2018",14316,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2019","2019",12198,,
"6","Net Internal Migration","STE","States and Territories","2","Victoria","A","Annual","2020","2020",2243,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2017","2017",159626,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2018","2018",161166,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2019","2019",168314,,
"7","Overseas Arrivals","STE","States and Territories","2","Victoria","A","Annual","2020","2020",151799,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2017","2017",68383,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2018","2018",74198,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2019","2019",82838,,
"8","Overseas Departures","STE","States and Territories","2","Victoria","A","Annual","2020","2020",90464,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2017","2017",91243,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2018","2018",86968,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2019","2019",85476,,
"9","Net Overseas Migration","STE","States and Territories","2","Victoria","A","Annual","2020","2020",61335,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2017","2017",6321606,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2018","2018",6462019,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2019","2019",6596880,,
"10","Estimated Resident Population","STE","States and Territories","2","Victoria","A","Annual","2020","2020",6696670,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2017","2017",61298,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2018","2018",60951,,
"1","Births","STE","States and Territories","3","Queensland","A","Annual","2019","2019",61165,,
